date,kcals,steps,km
2017-06-25 00:00:00+00:00,,7475.0,6.68
2017-06-26 00:00:00+00:00,,5272.0,4.23
2017-06-27 00:00:00+00:00,,8125.0,6.53
2017-06-28 00:00:00+00:00,,6871.0,5.15
2017-06-29 00:00:00+00:00,,7918.0,5.55
2017-06-30 00:00:00+00:00,,5545.0,4.68
2017-07-01 00:00:00+00:00,,3033.0,2.02
2017-07-02 00:00:00+00:00,,8339.0,5.22
2017-07-03 00:00:00+00:00,,13206.0,8.97
2017-07-04 00:00:00+00:00,,6038.0,3.82
2017-07-05 00:00:00+00:00,,5917.0,6.4
2017-07-06 00:00:00+00:00,,6986.0,6.02
2017-07-07 00:00:00+00:00,,17102.0,15.17
2017-07-08 00:00:00+00:00,,8492.0,7.13
2017-07-09 00:00:00+00:00,,18994.0,16.51
2017-07-10 00:00:00+00:00,,5180.0,4.0
2017-07-11 00:00:00+00:00,,8516.0,6.01
2017-07-12 00:00:00+00:00,,2475.0,2.06
2017-07-13 00:00:00+00:00,,4260.0,3.04
2017-07-14 00:00:00+00:00,,4942.0,3.88
2017-07-15 00:00:00+00:00,,7216.0,5.89
2017-07-16 00:00:00+00:00,,8924.0,8.05
2017-07-17 00:00:00+00:00,,8322.0,7.21
2017-07-18 00:00:00+00:00,,8298.0,6.91
2017-07-19 00:00:00+00:00,,3531.0,2.98
2017-07-20 00:00:00+00:00,,4922.0,4.24
2017-07-21 00:00:00+00:00,,5807.0,5.09
2017-07-22 00:00:00+00:00,,14243.0,12.93
2017-07-23 00:00:00+00:00,,17220.0,16.21
2017-07-24 00:00:00+00:00,,7513.0,6.04
2017-07-25 00:00:00+00:00,,7307.0,5.9
